iter	Passed	Remaining
678	945	446
679	946	445
680	948	444
681	950	443
682	952	442
683	954	441
684	956	439
685	957	438
686	959	437
687	961	436
688	963	434
689	965	433
690	966	432
691	968	430
692	969	429
693	970	428
694	972	426
695	974	425
696	977	424
697	980	424
698	981	422
699	983	421
700	985	420
701	987	419
702	989	417
703	990	416
704	993	415
705	995	414
706	998	413
707	1000	412
708	1002	411
709	1004	410
710	1006	409
711	1010	408
712	1013	407
713	1016	407
714	1017	405
715	1019	404
716	1020	402
717	1021	401
718	1023	399
719	1025	398
720	1027	397
721	1029	396
722	1030	394
723	1033	393
724	1035	392
725	1037	391
726	1038	390
727	1040	388
728	1042	387
729	1043	386
730	1045	384
731	1047	383
732	1048	381
733	1048	380
734	1049	378
735	1051	377
736	1052	375
737	1053	373
738	1054	372
739	1055	370
740	1055	369
741	1057	367
742	1059	366
743	1060	364
744	1061	363
745	1062	361
746	1064	360
747	1065	358
748	1067	357
749	1068	356
750	1070	354
751	1071	353
752	1074	352
753	1075	350
754	1076	349
755	1077	347
756	1078	346
757	1080	344
758	1081	343
759	1083	342
760	1084	340
761	1085	339
762	1087	337
763	1089	336
764	1090	335
765	1092	333
766	1094	332
767	1096	331
768	1097	329
769	1099	328
770	1100	326
771	1102	325
772	1103	324
773	1105	322
774	1107	321
775	1109	320
776	1110	318
777	1112	317
778	1113	316
779	1115	314
780	1116	313
781	1118	311
782	1119	310
783	1121	308
784	1122	307
785	1123	305
786	1125	304
787	1127	303
788	1128	301
789	1130	300
790	1131	299
791	1133	297
792	1135	296
793	1136	294
794	1138	293
795	1139	292
796	1140	290
797	1141	289
798	1143	287
799	1144	286
800	1146	284
801	1147	283
802	1149	281
803	1150	280
804	1151	278
805	1152	277
806	1154	276
807	1156	274
808	1157	273
809	1158	271
810	1159	270
811	1161	268
812	1163	267
813	1164	266
814	1166	264
815	1167	263
816	1169	261
817	1170	260
818	1171	258
819	1173	257
820	1174	256
821	1176	254
822	1177	253
823	1179	251
824	1180	250
825	1182	249
826	1183	247
827	1184	245
828	1185	244
829	1186	243
830	1187	241
831	1189	240
832	1190	238
833	1191	237
834	1192	235
835	1194	234
836	1195	232
837	1196	231
838	1197	229
839	1198	228
840	1199	226
841	1200	225
842	1201	223
843	1202	222
844	1204	220
845	1205	219
846	1206	218
847	1208	216
848	1209	215
849	1210	213
850	1211	212
851	1212	210
852	1213	209
853	1214	207
854	1216	206
855	1218	204
856	1219	203
857	1222	202
858	1224	201
859	1226	199
860	1227	198
861	1229	196
862	1231	195
863	1232	194
864	1233	192
865	1235	191
866	1236	189
867	1238	188
868	1239	186
869	1241	185
870	1242	184
871	1244	182
872	1244	181
873	1246	179
874	1247	178
875	1249	176
876	1250	175
877	1251	173
878	1253	172
879	1254	171
880	1256	169
881	1257	168
882	1258	166
883	1259	165
884	1261	163
885	1262	162
886	1263	160
887	1264	159
888	1265	158
889	1267	156
890	1268	155
891	1269	153
892	1270	152
893	1271	150
894	1273	149
895	1274	147
896	1275	146
897	1276	145
898	1278	143
899	1279	142
900	1280	140
901	1281	139
902	1282	137
903	1284	136
904	1285	134
905	1286	133
906	1287	132
907	1288	130
908	1289	129
909	1290	127
910	1291	126
911	1293	124
912	1294	123
913	1295	121
914	1296	120
915	1298	119
916	1299	117
917	1300	116
918	1301	114
919	1302	113
920	1304	111
921	1305	110
922	1306	108
923	1307	107
924	1308	106
925	1309	104
926	1311	103
927	1312	101
928	1313	100
929	1314	98
930	1316	97
931	1317	96
932	1318	94
933	1319	93
934	1320	91
935	1321	90
936	1322	88
937	1323	87
938	1324	86
939	1325	84
940	1326	83
941	1327	81
942	1328	80
943	1329	78
944	1330	77
945	1331	76
946	1332	74
947	1333	73
948	1334	71
949	1335	70
950	1336	68
951	1337	67
952	1338	65
953	1338	64
954	1339	63
955	1340	61
956	1341	60
957	1342	58
958	1343	57
959	1344	56
960	1345	54
961	1346	53
962	1347	51
963	1348	50
964	1349	48
965	1349	47
966	1350	46
967	1351	44
968	1352	43
969	1353	41
970	1354	40
971	1355	39
972	1356	37
973	1357	36
974	1358	34
975	1359	33
976	1360	32
977	1361	30
978	1362	29
979	1363	27
980	1363	26
981	1364	25
982	1365	23
983	1366	22
984	1367	20
985	1368	19
986	1369	18
987	1369	16
988	1370	15
989	1371	13
990	1372	12
991	1373	11
992	1374	9
993	1375	8
994	1376	6
995	1377	5
996	1378	4
997	1379	2
998	1380	1
999	1381	0
